brand,product_code,model_number,source,status,advertised_price,list_price,availability,seller_name_raw,fetch_method,model_match,observed_at,html_sha256,screenshot_sha256,error,url
Apple,APL-P10,MEQX4LW/A,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:33:41.691Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/apple-watch-series-11-gps-42mm-space-gray-aluminum-case-with-black-sport-band-m-l-space-gray-2025/JJGCQLX93Y/sku/6572705
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/apple-watch-series-11-gps-42mm-space-gray-aluminum-case-with-black-sport-band-m-l-space-gray-2025/JJGCQLX93Y/sku/6572705"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/apple-watch-series-11-gps-42mm-space-gray-aluminum-case-with-black-sport-band-m-l-space-gray-2025/JJGCQLX93Y/sku/6572705
LG,LG-P01,OLED65C6PUA,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:31:58.955Z,f1953d598eb4b6b202ff6f64bf1b4e993680da2a2e0788436d4a0a862584f6dc,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200 (captcha), no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0GRK5D3RW
LG,LG-P01,OLED65C6PUA,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:34:31.602Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/lg-65-class-c6-series-oled-evo-ai-4k-smart-webos-tv-2026/JJ8VPZKZ8H/sku/6673112
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/lg-65-class-c6-series-oled-evo-ai-4k-smart-webos-tv-2026/JJ8VPZKZ8H/sku/6673112"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/lg-65-class-c6-series-oled-evo-ai-4k-smart-webos-tv-2026/JJ8VPZKZ8H/sku/6673112
LG,LG-P01,OLED65C6PUA,walmart_us,ok,1599.99,2099.99,in_stock,Walmart.com,http,true,2026-09-23T10:28:58.726Z,5aa6bd1ae623d6fdfa61002720691a61f12aec75691c98c6c2f5416b001b0b15,2c23c509f95b8f54113cf36ff12585d1f7403b178e7bf06d269908567e2c64de,,https://www.walmart.com/ip/18196407846
LG,LG-P02,OLED55C6PUA,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:32:29.254Z,389660444c0161ce01f4b79650917083be4977d6a623c4dd762cb8a9b840b4d5,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200 (captcha), no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0GS4231WF
LG,LG-P02,OLED55C6PUA,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:35:19.841Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/lg-55-class-c6-series-oled-evo-ai-4k-smart-webos-tv-2026/JJ8VPZKKP3
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/lg-55-class-c6-series-oled-evo-ai-4k-smart-webos-tv-2026/JJ8VPZKKP3"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/lg-55-class-c6-series-oled-evo-ai-4k-smart-webos-tv-2026/JJ8VPZKKP3
LG,LG-P02,OLED55C6PUA,walmart_us,ok,1499.99,1599.99,in_stock,Beach Camera,http,true,2026-09-23T10:29:15.863Z,c4a1eed13a849f7e29ed95714b9c084d3f2eadd4609955c972044b3dead56f95,e47dadcacc67d78dfb2e097662cad1d03a220f9ac2ac3814d4f088e0b8b369f2,,https://www.walmart.com/ip/18199654202
LG,LG-P03,65QNED84BUA,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:33:04.904Z,cc0c5fb0afaf0005077f914c92e234876d493b951fb1637b6ff0435f6d08cdb5,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200 (captcha), no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0GRKCHDWP
LG,LG-P03,65QNED84BUA,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:36:08.915Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/lg-65-class-84b-series-qned-evo-ai-mini-led-4k-smart-webos-tv-2026/JJ8VPZZ722/sku/6673136
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/lg-65-class-84b-series-qned-evo-ai-mini-led-4k-smart-webos-tv-2026/JJ8VPZZ722/sku/6673136"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/lg-65-class-84b-series-qned-evo-ai-mini-led-4k-smart-webos-tv-2026/JJ8VPZZ722/sku/6673136
LG,LG-P03,65QNED84BUA,walmart_us,ok,699.99,,in_stock,Wholesale Connection,http,true,2026-09-23T10:29:35.076Z,9a62acc8360e8f766aa4e8578187dd4a1fb5cd93c81009570f18c9284d46b849,c001d334525dd4ac284566efc25e9ca01e9ee81a33bbe20079fd3e2a50c85589,,https://www.walmart.com/ip/20307107554
LG,LG-P04,65QNED75BUA,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:36:54.771Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/lg-65-class-75b-series-qned-ai-mini-led-4k-smart-webos-tv-2026/JJ8VPZKFCF
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/lg-65-class-75b-series-qned-ai-mini-led-4k-smart-webos-tv-2026/JJ8VPZKFCF"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/lg-65-class-75b-series-qned-ai-mini-led-4k-smart-webos-tv-2026/JJ8VPZKFCF
LG,LG-P04,65QNED75BUA,walmart_us,ok,589.9,,in_stock,Wholesale Connection,http,true,2026-09-23T10:29:50.292Z,d9fabde5703741127f6fe3c651d772550073ed8be548580fb3554a90a9362141,6aae7389929f4e0bad827b8fb835d77cd1318225c189acf5e5c5b418c9c69aac,,https://www.walmart.com/ip/20682002623
LG,LG-P05,27GX790A-B,amazon_us,blocked,,,unknown,,browser,false,2026-09-23T10:33:39.923Z,7c695ef2d44c8365309706e9e971ab5a7d36be7522db61e55e913ed40f0110d6,c743ed80340f774ae59f0bad0c5ae3675acf464e56bf2445618be266a1f645c6,"http gave status 200 (captcha), no price; trying browser | blocked: captcha",https://www.amazon.com/dp/B0DMPTN8DG
LG,LG-P05,27GX790A-B,bestbuy_us,failed,,,unknown,,,,2026-09-23T10:37:42.631Z,,,"http: The operation was aborted due to timeout | browser: page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.bestbuy.com/product/lg-ultragear-27-oled-qhd-480hz-0-03ms-nvidia-g-sync-amd-freesync-premium-pro-gaming-monitor-hdmi-x2-displayport-usb-black/JJ8VPZTF8C
Call log:
[2m  - navigating to ""https://www.bestbuy.com/product/lg-ultragear-27-oled-qhd-480hz-0-03ms-nvidia-g-sync-amd-freesync-premium-pro-gaming-monitor-hdmi-x2-displayport-usb-black/JJ8VPZTF8C"", waiting until ""domcontentloaded""[22m
",https://www.bestbuy.com/product/lg-ultragear-27-oled-qhd-480hz-0-03ms-nvidia-g-sync-amd-freesync-premium-pro-gaming-monitor-hdmi-x2-displayport-usb-black/JJ8VPZTF8C
LG,LG-P05,27GX790A-B,walmart_us,ok,649.99,,in_stock,Newegg Inc.,http,true,2026-09-23T10:30:06.967Z,ccd5a456b27a55f5d5a1609b1bcfbfda7909590c98e78653dedc7b4c4a6b2ba0,a4517daee4cbdb8d42087877946a4ea88c8f15da914b009b962a121e79bb3b8a,,https://www.walmart.com/ip/15027211854
